aX,aY,aZ,gX,gY,gZ
-0.957,-0.01,-0.245,0.366,0.366,0.183
-0.958,-0.007,-0.244,0.671,0.244,0.122
-0.954,0.001,-0.251,-0.488,-0.488,-0.427
-0.956,-0.002,-0.25,0.854,-0.732,-0.366
-0.954,0.002,-0.261,0.671,0.244,0.183
-0.953,-0.001,-0.254,0.061,0.061,-0.305
-0.954,-0.008,-0.256,0.305,-0.366,-0.183
-0.955,0.0,-0.259,-0.061,-0.244,-0.244
-0.954,-0.001,-0.256,0.427,0.427,0.305
-0.954,-0.001,-0.258,-0.061,0.854,0.488

-0.789,-0.66,0.043,72.021,26.123,50.11
-0.774,-0.669,0.103,58.716,24.719,65.186
-1.631,-0.769,-0.017,-5.31,83.008,156.738
-1.034,-0.335,-0.129,-44.495,47.302,99.976
-0.257,0.39,-0.503,-17.7,20.386,5.249
-4.0,-1.156,0.327,181.091,-35.4,55.542
-1.957,-0.19,-0.587,77.148,-58.411,-93.323
-2.081,-0.894,-0.403,17.212,-128.54,-204.895
-1.546,-1.776,1.468,-7.568,-79.224,-120.789
-1.09,0.611,-0.34,-61.523,30.518,161.743
0.168,-1.406,0.318,-46.692,24.597,-19.653
0.149,1.951,-0.609,-405.273,110.779,32.227
-1.444,0.3,-0.501,-70.557,27.1,91.309
-0.903,0.418,-0.31,-5.92,-4.578,16.907
-0.948,-0.059,-0.276,-0.854,1.099,0.488
-0.952,-0.06,-0.279,0.427,1.16,-0.488
-0.95,-0.04,-0.281,1.77,-0.427,-1.648
-0.948,-0.02,-0.273,1.282,0.061,-0.244
-0.951,-0.032,-0.28,-3.052,-0.305,-0.122
-0.946,-0.034,-0.294,1.16,-0.122,0.366
-0.95,-0.038,-0.279,-1.404,1.16,0.732
-0.953,-0.039,-0.272,0.061,0.916,0.977
-0.95,-0.037,-0.275,1.099,0.427,-0.061
-0.951,-0.04,-0.272,-0.427,-0.061,-0.183
-0.951,-0.034,-0.279,1.099,-0.305,-0.427
-0.95,-0.037,-0.28,1.465,0.061,-0.488
-0.949,-0.024,-0.273,2.93,0.0,0.061
-0.95,-0.035,-0.274,1.282,0.732,0.305
-0.953,-0.03,-0.267,0.305,0.427,0.305
-0.95,-0.036,-0.273,0.427,-0.122,-0.183
-0.95,-0.028,-0.277,2.258,0.488,-0.122
-0.952,-0.03,-0.271,0.671,0.488,-0.305
-0.95,-0.032,-0.265,0.183,0.854,0.061
-0.953,-0.031,-0.269,-0.427,0.61,0.122
-0.953,-0.032,-0.267,0.183,0.427,0.122
-0.954,-0.036,-0.262,0.916,1.16,0.305
-0.951,-0.026,-0.26,0.427,-0.366,-0.488
-0.954,-0.024,-0.261,1.404,0.061,-0.732
-0.957,-0.032,-0.26,0.916,0.244,0.488
-0.954,-0.037,-0.264,-0.061,0.671,0.305
-0.954,-0.019,-0.266,3.967,1.038,-0.732
-0.957,-0.026,-0.252,-0.244,0.183,0.0
-0.956,-0.025,-0.254,0.427,0.977,0.549
-0.96,-0.034,-0.244,1.404,0.793,0.427
-0.96,-0.028,-0.245,0.244,0.427,0.183
-0.959,-0.029,-0.241,0.427,0.916,0.732
-0.959,-0.04,-0.235,1.282,0.916,1.16
-0.959,-0.039,-0.237,0.183,0.244,0.61
-0.959,-0.037,-0.239,-0.122,0.366,-0.427
-0.955,-0.027,-0.24,-1.16,0.977,0.061
-0.961,-0.035,-0.233,0.427,0.732,0.61
-0.961,-0.041,-0.232,0.793,0.366,0.977
-0.962,-0.054,-0.225,0.0,1.099,0.61
-0.963,-0.049,-0.225,-0.244,0.305,-0.488
-0.964,-0.058,-0.221,0.366,0.549,0.549
-0.96,-0.064,-0.222,5.554,0.488,0.244
-0.965,-0.053,-0.218,0.732,0.061,-0.061
-0.962,-0.052,-0.221,0.671,0.366,0.061
-0.964,-0.047,-0.225,-0.366,0.122,-0.244
-0.961,-0.049,-0.223,-0.793,0.061,0.061
-0.961,-0.046,-0.224,-0.366,0.061,0.0
-0.961,-0.049,-0.225,-0.183,-0.122,0.061
-0.961,-0.05,-0.223,0.061,-0.061,0.305
-0.961,-0.047,-0.23,-0.854,0.0,-0.244
-0.963,-0.053,-0.227,0.061,0.671,0.0
-0.962,-0.053,-0.226,-0.122,0.61,0.305
-0.963,-0.053,-0.222,0.488,0.732,0.122
-0.962,-0.051,-0.221,0.366,0.61,0.244
-0.963,-0.059,-0.225,1.587,0.061,0.061
-0.962,-0.049,-0.224,-0.671,0.122,-0.122
-0.963,-0.049,-0.22,-0.061,0.183,0.122
-0.962,-0.053,-0.219,-0.488,0.183,0.244
-0.964,-0.054,-0.219,-0.061,0.122,0.0
-0.962,-0.058,-0.222,-0.305,0.061,0.122
-0.964,-0.055,-0.222,0.366,0.061,-0.305
-0.962,-0.058,-0.226,0.488,-0.122,-0.305
-0.961,-0.054,-0.227,0.122,0.061,-0.244
-0.964,-0.06,-0.231,0.549,0.488,-0.732
-0.961,-0.043,-0.227,0.793,0.61,0.427
-0.964,-0.049,-0.218,0.183,0.488,0.732
-0.964,-0.055,-0.214,0.183,0.244,0.0
-0.965,-0.051,-0.218,1.038,-0.061,0.0
-0.965,-0.051,-0.223,-0.427,-0.305,-0.061
-0.962,-0.047,-0.225,-0.305,0.0,-0.183
-0.962,-0.049,-0.224,0.244,0.305,0.061
-0.963,-0.049,-0.221,0.122,0.366,0.549
-0.964,-0.047,-0.219,-0.366,0.366,0.122
-0.962,-0.046,-0.226,0.0,0.671,0.183
-0.962,-0.06,-0.222,-0.122,0.549,0.549
-0.964,-0.059,-0.217,0.244,0.061,0.305
-0.96,-0.052,-0.219,-0.183,0.183,0.061
-0.965,-0.054,-0.217,0.61,0.061,-0.122
-0.963,-0.052,-0.22,-0.305,0.244,0.183
