aX,aY,aZ,gX,gY,gZ
-0.83,0.468,-0.168,-2.991,1.465,0.488
-0.828,0.462,-0.167,-2.747,1.343,0.183
-0.824,0.453,-0.171,-3.174,1.099,0.0
-0.847,0.454,-0.16,-4.578,1.16,-0.244
-0.846,0.49,-0.145,-4.333,2.747,0.122
-0.836,0.497,-0.149,-3.418,3.235,-0.061
-0.824,0.465,-0.157,-1.038,0.977,-0.488
-0.835,0.464,-0.163,-0.916,0.122,-0.366
-0.836,0.466,-0.166,-1.465,0.488,0.488
-0.823,0.442,-0.177,-1.953,0.366,1.343
-0.827,0.425,-0.188,-2.136,-0.183,1.648
-0.845,0.421,-0.187,-5.127,0.366,2.563
-0.852,0.438,-0.175,-5.676,0.854,2.563
-0.839,0.462,-0.152,-6.287,1.343,2.258
-0.833,0.47,-0.149,-5.798,1.465,2.075
-0.837,0.453,-0.155,-4.211,0.122,1.587
-0.841,0.455,-0.146,-3.845,0.0,1.709

-0.861,0.497,-0.15,-1.404,1.526,-1.831
-0.854,0.511,-0.148,0.366,2.014,-2.258
-0.849,0.508,-0.151,2.014,1.77,-3.235
-0.85,0.499,-0.155,3.052,1.282,-4.028
-0.855,0.485,-0.157,4.456,0.854,-4.395
-0.858,0.471,-0.163,6.226,0.549,-4.456
-0.837,0.448,-0.189,7.507,0.0,-4.761
-0.835,0.432,-0.197,7.019,-0.183,-4.761
-0.834,0.407,-0.201,4.089,0.122,-3.906
-0.836,0.396,-0.198,2.563,0.61,-2.441
-0.831,0.417,-0.163,0.854,0.977,-0.793
-0.811,0.464,-0.183,4.089,-1.892,0.061
-0.815,0.482,-0.189,3.174,-2.502,0.0
-0.829,0.48,-0.185,2.563,-2.38,-0.427
-0.835,0.473,-0.182,2.869,-2.075,-0.61
-0.84,0.465,-0.176,3.357,-1.16,0.0
-0.832,0.449,-0.178,3.845,-1.099,-0.732
-0.832,0.444,-0.176,3.784,-1.343,-1.038
-0.839,0.464,-0.176,0.793,-0.427,-0.305
-0.834,0.452,-0.181,0.732,-0.366,-0.854
-0.823,0.457,-0.185,0.122,-0.305,-0.61
-0.817,0.453,-0.191,-0.183,-0.366,-0.549
-0.835,0.44,-0.183,-2.502,-0.427,-0.122
-0.84,0.45,-0.178,-2.991,0.183,0.061
-0.854,0.476,-0.187,-3.662,0.977,-0.366
