aX,aY,aZ,gX,gY,gZ
-0.932,0.208,-0.228,-8.057,-2.136,-8.789
-0.934,0.199,-0.234,-9.705,-1.282,-9.583

-0.952,-0.479,-0.207,74.585,3.174,76.416
-1.049,-0.54,-0.275,57.8,-0.732,68.542
-1.183,-0.618,-0.324,44.189,-4.028,61.829
-1.314,-0.579,-0.344,34.058,-4.028,56.03
-1.39,-0.505,-0.36,24.536,-4.639,48.279
-1.527,-0.456,-0.245,4.7,-6.409,26.55
-1.575,-0.369,-0.117,-18.86,22.583,-4.822
-1.718,-0.261,0.039,-10.681,-8.728,-28.687
-1.943,-0.015,0.203,-20.386,39.246,-55.725
-2.104,0.476,0.198,20.874,26.672,-125.854
-2.208,0.639,0.039,54.504,19.348,-144.043
-2.736,0.19,-0.745,210.876,-77.087,-225.22
-2.791,-0.348,-0.936,195.19,-94.543,-232.788
-1.823,-0.859,0.044,42.236,7.996,-256.531
-0.172,-0.699,0.212,55.542,26.367,-200.806
-0.539,-1.714,-0.531,56.763,-4.517,177.673
0.012,-0.168,-1.042,353.149,-135.132,97.534
-0.176,1.288,1.313,-61.584,-62.195,15.869
-0.333,2.325,1.54,-226.074,43.64,32.776
-0.718,0.277,-0.913,-270.813,41.321,96.924
-0.929,-0.104,0.617,-215.332,-16.907,100.769
-0.295,0.092,0.113,-65.369,86.853,101.562
0.258,0.822,-0.091,-32.654,0.305,27.588
0.153,0.492,0.008,-61.523,27.222,24.963
0.128,0.502,-0.028,-57.495,11.719,15.015
0.099,0.576,-0.004,-49.377,-7.08,-23.987
0.236,0.019,0.073,-44.8,-23.193,-137.207
-0.436,-0.524,0.075,-217.896,-10.925,-37.292
-3.685,-2.494,-2.188,99.976,23.071,163.452
-3.515,0.362,-1.07,433.533,-132.446,142.029
-2.001,0.084,3.953,-119.629,-161.377,89.539
-2.719,3.708,1.119,-146.912,186.462,211.67
-0.877,3.826,-1.211,147.095,-20.63,-47.241
-2.434,-1.887,-1.381,338.074,-52.917,35.217
-2.659,-3.351,-1.923,131.409,-67.017,96.008
-0.737,-0.321,-0.458,-125.427,141.602,-126.77
-1.307,0.91,-0.164,-173.157,106.445,-60.852
-1.067,0.823,-0.091,-61.035,46.448,-127.808
-0.92,0.664,-0.128,3.174,25.452,-134.705
-0.868,0.003,-0.085,166.504,-142.273,-70.496
-0.944,-0.535,-0.337,114.624,-123.108,-68.054
-0.966,-0.641,-0.296,82.153,-42.786,-65.002
-0.723,-0.255,0.019,-62.683,-5.188,-60.303
-0.687,0.151,0.219,-61.707,-31.616,-53.711
-0.724,-0.071,0.2,-8.301,-28.748,-54.138
-0.882,-0.389,-0.163,5.737,17.395,-33.691
-0.936,-0.402,-0.251,-5.554,12.878,-30.029
-1.043,-0.487,-0.328,-15.442,-11.719,-34.607
-1.021,-0.226,-0.186,-24.048,5.31,-6.531
-1.031,-0.018,-0.14,-35.767,11.475,-3.296
-0.98,0.306,0.001,1.221,-4.395,-19.043
-0.889,0.269,0.013,54.688,5.432,-16.357
-0.976,-0.054,-0.256,91.431,-33.081,-15.137
-0.979,-0.254,-0.31,44.495,-3.174,-14.404
-0.927,-0.094,-0.257,-23.865,0.061,-18.372
-0.963,0.122,-0.143,-46.753,9.094,-19.104
-0.971,0.196,-0.077,-41.199,11.536,-15.747
-0.963,0.208,-0.079,-27.71,6.104,-15.686
-0.995,0.017,-0.182,19.897,5.92,-3.052
-0.966,-0.059,-0.194,25.085,-0.305,-4.578
-1.005,-0.067,-0.267,15.808,-18.982,-11.353
-0.96,0.116,-0.18,10.376,-5.188,-5.432
-0.958,0.168,-0.155,18.066,-9.277,-5.981
-0.958,0.125,-0.14,17.273,-2.38,-2.136
-0.963,0.085,-0.148,16.296,-0.488,-0.366
-0.941,0.135,-0.24,7.874,-4.639,-3.906
-0.931,0.134,-0.26,-2.93,-1.038,-6.897
-0.934,0.234,-0.182,-13.367,-0.427,-10.437
-0.932,0.239,-0.173,-9.155,-0.977,-10.498
-0.938,0.185,-0.175,-4.272,-1.953,-10.803
-0.942,0.17,-0.181,-3.479,-2.441,-11.23
-0.956,0.125,-0.222,-4.639,-3.357,-12.329
-0.951,0.132,-0.22,-9.949,-2.136,-10.376
-0.951,0.142,-0.219,-11.475,-1.16,-8.362
-0.953,0.149,-0.21,-11.414,-0.916,-7.568
-0.943,0.157,-0.223,-5.554,-0.305,-2.319
-0.944,0.157,-0.225,-5.371,-0.488,-2.014
-0.945,0.165,-0.22,-4.028,-0.854,-1.404
-0.944,0.182,-0.243,-2.319,-2.502,-1.953
-0.937,0.167,-0.213,2.625,-5.615,-2.686
-0.935,0.176,-0.228,1.831,-2.441,-2.991
-0.939,0.183,-0.232,-2.747,-1.16,-1.892
-0.937,0.186,-0.225,-2.197,0.244,-1.16
-0.945,0.193,-0.225,-0.916,-2.38,-1.404
-0.939,0.187,-0.22,-1.099,-1.038,-1.099
-0.937,0.179,-0.224,-0.854,0.549,-0.061
-0.938,0.184,-0.225,-1.099,0.122,-0.61
-0.936,0.186,-0.228,-0.854,-0.61,-0.977
-0.938,0.186,-0.235,-1.16,-0.244,-0.244
-0.94,0.19,-0.236,-1.038,0.122,0.183
-0.936,0.187,-0.221,-0.244,0.854,1.16
-0.937,0.192,-0.222,0.122,0.854,1.343
-0.935,0.191,-0.227,0.61,0.244,1.343
-0.936,0.174,-0.221,1.648,0.549,1.282
-0.936,0.173,-0.223,1.648,0.0,0.977
-0.938,0.173,-0.23,1.16,-0.916,0.366
-0.938,0.172,-0.237,1.465,-0.854,0.549
-0.94,0.179,-0.227,0.061,-0.427,0.916
-0.929,0.186,-0.221,2.869,-0.366,1.343
-0.937,0.198,-0.231,3.296,-3.235,-0.122
-0.938,0.191,-0.23,2.808,-0.244,2.563
-0.93,0.175,-0.222,2.441,2.014,2.258
-0.937,0.181,-0.235,1.404,-0.916,-0.366
-0.933,0.178,-0.23,-1.099,0.183,0.244
-0.935,0.178,-0.227,-1.404,0.549,0.427
-0.937,0.181,-0.22,-1.282,0.671,0.061
-0.939,0.181,-0.22,-0.793,0.305,-0.122
-0.941,0.177,-0.229,-1.404,0.916,0.671
-0.936,0.177,-0.221,-2.136,1.648,1.404
-0.935,0.177,-0.224,-1.892,1.648,1.404
-0.936,0.177,-0.223,-0.977,0.61,0.488
-0.939,0.178,-0.222,-1.526,0.549,0.366
-0.943,0.179,-0.225,-2.075,0.854,0.305
-0.936,0.175,-0.222,-1.221,1.038,0.549
-0.934,0.176,-0.223,-1.16,0.793,0.366
-0.938,0.179,-0.227,-0.793,0.244,0.183
-0.939,0.178,-0.228,-0.732,0.244,0.244
-0.94,0.177,-0.222,-1.038,0.549,0.793
-0.939,0.175,-0.225,-0.488,0.732,0.916

-0.939,-0.489,-0.131,11.963,8.545,69.031
-0.974,-0.507,-0.123,8.301,14.526,65.918
-0.997,-0.498,-0.149,5.554,18.494,63.66
-0.986,-0.492,-0.156,7.324,17.395,60.181
-1.085,-0.466,-0.158,14.832,-13.245,42.908
-1.132,-0.425,-0.226,9.094,-12.451,32.227
-1.195,-0.401,-0.173,-5.676,-5.676,11.353
-1.415,-0.469,-0.158,12.085,-16.418,-15.198
-1.484,-0.417,-0.112,8.24,-15.198,-24.231
-1.731,-0.179,0.224,-7.568,4.883,-51.453
-2.001,0.047,0.259,18.616,14.221,-85.205
-2.057,0.087,0.135,51.697,4.272,-119.629
-2.419,0.28,-0.136,97.107,-12.024,-182.251
-2.538,0.263,-0.403,130.188,-17.944,-220.886
-1.997,-0.15,-0.758,173.828,-26.794,-211.121
-0.651,-0.727,-0.228,114.075,4.028,-159.546
-0.262,-1.076,-0.374,64.087,23.987,-140.991
-0.746,-3.681,-0.181,46.265,34.668,204.834
-0.42,-0.811,-0.446,150.391,-74.463,131.958
0.28,1.613,-0.059,-107.727,-34.058,12.817
0.08,3.219,0.469,-489.746,86.853,75.195
-0.634,2.046,-0.269,-148.621,51.575,83.557
-0.236,0.216,0.154,-232.361,55.42,117.004
-0.051,0.54,0.063,-58.777,-16.724,-9.949
-0.084,0.479,0.011,-30.029,-39.429,-56.885
0.18,-0.552,0.404,-138.855,24.109,-129.395
0.238,-0.692,0.361,-144.043,36.194,-118.286
-1.072,-3.625,0.765,-234.558,37.781,30.579
-2.919,-1.126,-1.125,33.691,-49.988,179.565
-0.851,0.099,0.761,12.573,-56.458,30.212
-4.0,-2.75,3.227,111.633,258.911,293.64
-2.886,2.63,-0.236,-102.539,76.721,207.703
-2.026,3.843,-0.835,-25.33,-42.236,2.014
-1.307,0.189,-0.893,200.073,-30.457,-25.024
-2.041,-0.834,-0.802,179.749,-31.494,53.589
-2.271,-1.451,-0.312,72.571,16.052,79.651
-0.939,0.065,-0.653,-219.604,82.397,-95.459
-0.743,0.202,-0.224,-238.342,207.642,-57.8
-0.702,-0.155,0.286,92.163,-11.902,-2.808
-1.05,0.036,-0.048,48.157,-127.991,-103.882
-0.862,0.173,0.129,-46.997,53.711,-25.33
-0.909,-0.011,-0.008,-2.258,-29.968,-73.12
-0.744,0.026,-0.009,-7.568,3.357,-48.706
-0.715,-0.085,-0.131,59.814,-66.406,-81.238
-0.759,-0.125,-0.192,60.364,-64.636,-85.388
-0.722,-0.309,-0.261,74.341,-26.611,-73.364
-0.769,-0.467,-0.341,9.827,-23.193,-50.964
-0.841,-0.414,-0.296,-6.47,-16.846,-47.974
-0.988,-0.227,-0.122,-44.983,-19.531,-47.058
-1.126,0.034,0.022,-27.222,-4.639,-38.574
-0.948,0.149,-0.071,34.546,-9.949,-38.696
-0.88,0.186,-0.145,40.1,-12.268,-38.025
-0.945,0.119,-0.457,32.41,-14.465,-20.63
-0.955,0.073,-0.46,17.395,-3.235,-9.033
-0.938,0.03,-0.217,-11.658,8.179,-3.296
-0.952,0.098,-0.186,-10.193,12.207,1.282
-0.983,0.152,-0.131,-21.362,5.005,1.709
-0.922,0.253,-0.121,-12.634,-0.305,1.16
-0.933,0.175,-0.247,3.357,-0.61,5.737
-0.922,0.112,-0.319,5.432,-0.854,6.653
-0.945,0.13,-0.275,-6.836,-0.61,4.395
-0.955,0.155,-0.26,-7.629,4.395,7.08
-0.955,0.159,-0.178,-10.986,1.221,4.15
-0.939,0.184,-0.212,-8.911,-1.77,1.831
-0.929,0.167,-0.21,-8.972,2.563,6.104
-0.938,0.163,-0.21,-9.338,1.831,6.897
-0.941,0.172,-0.223,-9.338,1.282,7.568
-0.938,0.189,-0.242,-8.179,2.808,6.836
-0.934,0.207,-0.226,-8.179,2.991,6.348
-0.93,0.209,-0.215,-6.042,1.221,4.333
-0.93,0.216,-0.213,-3.845,0.305,2.991
-0.931,0.237,-0.217,-2.869,-0.122,0.244
-0.93,0.239,-0.218,-3.113,0.122,-0.549
-0.939,0.207,-0.213,-2.075,0.793,-1.953
-0.942,0.198,-0.209,-1.099,0.671,-2.563
-0.942,0.187,-0.204,0.854,0.854,-3.235
-0.944,0.18,-0.202,3.845,-0.916,-3.601
-0.949,0.162,-0.218,6.958,-2.258,-2.808
-0.948,0.163,-0.235,8.057,-1.953,-1.892
-0.939,0.157,-0.237,5.981,-0.61,0.488
-0.932,0.136,-0.232,6.653,0.488,1.282
-0.936,0.146,-0.237,6.592,0.183,2.136
-0.938,0.15,-0.234,5.676,-0.122,2.197
-0.941,0.164,-0.225,4.395,0.732,2.319
-0.944,0.172,-0.226,3.174,0.549,2.136
-0.931,0.185,-0.223,4.272,0.916,-0.488
-0.932,0.194,-0.225,2.93,-0.366,-1.648
-0.938,0.159,-0.221,-0.061,1.648,-2.808
-0.939,0.159,-0.228,-0.793,1.343,-3.479
-0.939,0.16,-0.223,-3.723,0.427,-4.822
-0.938,0.154,-0.216,-5.554,1.709,-4.883
-0.946,0.147,-0.223,-5.859,2.075,-4.211
-0.946,0.148,-0.218,-7.019,1.282,-4.15
-0.947,0.145,-0.22,-6.653,2.075,-1.892
-0.944,0.157,-0.233,-5.859,1.892,0.183
-0.946,0.165,-0.23,-5.371,1.709,0.854
-0.941,0.183,-0.204,-1.465,1.77,2.747
-0.939,0.194,-0.216,0.122,1.099,2.502
-0.936,0.179,-0.222,0.427,1.404,2.38
-0.933,0.184,-0.224,-1.282,0.061,0.671
-0.939,0.186,-0.21,-3.235,0.61,-1.038
-0.942,0.182,-0.209,-3.357,0.977,-0.916
-0.944,0.17,-0.215,-1.587,1.648,-0.122
-0.945,0.156,-0.221,-1.892,0.0,2.197
-0.943,0.156,-0.219,-2.136,1.038,3.601
-0.943,0.152,-0.214,-1.648,1.526,3.845
-0.94,0.157,-0.212,-1.16,1.587,4.089
-0.943,0.165,-0.216,-1.709,0.488,3.54
-0.942,0.177,-0.214,-1.343,-0.061,3.235
-0.937,0.184,-0.213,-1.282,1.77,3.113
-0.936,0.177,-0.215,-1.038,1.709,2.686
-0.941,0.167,-0.213,-0.549,1.038,1.648
-0.946,0.157,-0.214,-0.732,0.671,0.61
-0.946,0.156,-0.215,-0.671,0.732,0.366
-0.944,0.16,-0.221,-1.038,0.916,0.61
-0.942,0.151,-0.211,-0.488,1.221,1.038
-0.943,0.153,-0.216,0.916,0.122,1.16
-0.944,0.154,-0.218,0.854,0.061,1.282
-0.947,0.142,-0.222,1.465,0.671,1.77

-0.948,-0.797,-0.051,2.93,5.31,107.178
-1.056,-0.647,0.059,-6.226,7.996,106.628
-1.097,-0.388,0.091,-3.967,12.512,100.525
-1.066,-0.287,0.087,-9.766,13.062,88.318
-1.08,-0.264,0.078,-7.935,3.845,74.28
-1.112,-0.23,0.082,9.949,-5.676,64.636
-1.237,-0.089,0.094,21.729,-17.029,46.57
-1.816,-0.239,-0.226,54.382,-19.226,12.268
-2.026,-0.404,-0.121,42.847,-11.719,7.935
-1.856,-0.148,0.357,0.244,53.223,-28.198
-1.969,0.411,0.229,22.095,40.1,-70.251
-2.143,0.596,0.089,53.772,21.057,-90.942
-2.501,0.589,-0.477,163.086,-32.959,-158.386
-2.527,0.553,-0.586,172.058,-35.278,-169.495
-2.282,-0.161,-1.116,123.657,21.118,-197.937
-1.26,-0.646,-0.461,117.188,90.088,-153.931
-0.139,-1.678,-0.291,-33.997,34.912,-139.343
0.054,-4.0,-0.899,-137.573,133.545,81.543
-0.928,-1.001,-0.525,138.123,-75.928,168.091
-0.193,0.026,0.281,240.051,-82.336,122.986
